JOBID,SUBMITTED_AT,RUNNING_AT,FINISHED_AT,WAIT_DURATION,RUN_DURATION
216,1282909099,1282909367,1282909372,268,5
217,1282909099,1282909412,1282909417,313,5
218,1282909099,1282909457,1282909462,358,5
219,1282909099,1282909487,1282909492,388,5
220,1282909099,1282909532,1282909537,433,5
221,1282909099,1282909577,1282909584,478,7
222,1282909099,1282909607,1282909612,508,5
223,1282909099,1282909652,1282909657,553,5
224,1282909099,1282909697,1282909702,598,5
225,1282909099,1282909727,1282909732,628,5
226,1282909099,1282909772,1282909777,673,5
227,1282909099,1282909817,1282909822,718,5
228,1282909099,1282909847,1282909852,748,5
229,1282909099,1282909892,1282909897,793,5
230,1282909099,1282909937,1282909942,838,5
231,1282909099,1282909967,1282909972,868,5
232,1282909099,1282910012,1282910016,913,4
233,1282909099,1282910057,1282910062,958,5
234,1282909099,1282910087,1282910091,988,4
235,1282909099,1282910132,1282910137,1033,5
236,1282909099,1282910177,1282910181,1078,4
237,1282909099,1282910207,1282910212,1108,5
238,1282909099,1282910252,1282910258,1153,6
239,1282909099,1282910297,1282910303,1198,6
240,1282909099,1282910327,1282910334,1228,7
241,1282909099,1282910372,1282910376,1273,4
242,1282909099,1282910417,1282910424,1318,7
243,1282909099,1282910447,1282910452,1348,5
244,1282909099,1282910492,1282910499,1393,7
245,1282909099,1282910537,1282910543,1438,6
246,1282909100,1282910567,1282910573,1467,6
247,1282909100,1282910612,1282910623,1512,11
248,1282909100,1282910657,1282910661,1557,4
249,1282909100,1282910687,1282910695,1587,8
250,1282909100,1282910732,1282910740,1632,8
251,1282909100,1282910777,1282910781,1677,4
252,1282909100,1282910807,1282910813,1707,6
253,1282909100,1282910852,1282910857,1752,5
254,1282909118,1282910897,1282910903,1779,6
255,1282909118,1282910927,1282910932,1809,5
256,1282909118,1282910972,1282910977,1854,5
257,1282909118,1282911017,1282911022,1899,5
258,1282909118,1282911047,1282911052,1929,5
125,1282826092,1282878737,1282911069,52645,32332
122,1282822362,1282869212,1282911060,46850,41848
259,1282909118,1282911092,1282911096,1974,4
260,1282909118,1282911107,1282911113,1989,6
261,1282909118,1282911137,1282911142,2019,5
262,1282909118,1282911137,1282911142,2019,5
